calc_days,data_well_name_id,total_fluid_bpd
2.542,COOPER 14H,6912
2.542,COOPER 15H,7512
2.542,COOPER 81H,3384
2.542,COOPER 82H,4872
2.542,COOPER 83H,4968
2.542,COOPER 84H,6888
2.583,COOPER 11H,4464
2.583,COOPER 12H,4968
2.583,COOPER 13H,5664
2.583,COOPER 14H,6792
2.583,COOPER 15H,7632
2.583,COOPER 81H,3312
2.583,COOPER 82H,4896
2.583,COOPER 83H,4944
2.583,COOPER 84H,6696
2.625,COOPER 11H,4368
2.625,COOPER 12H,5040
2.625,COOPER 13H,5616
2.625,COOPER 14H,6816
2.625,COOPER 15H,7632
2.625,COOPER 81H,3264
2.625,COOPER 82H,4872
2.625,COOPER 83H,4896
2.625,COOPER 84H,6840
2.667,COOPER 11H,4368
2.667,COOPER 12H,5088
2.667,COOPER 13H,5544
2.667,COOPER 14H,6816
2.667,COOPER 15H,7680
2.667,COOPER 81H,3336
2.667,COOPER 82H,4920
2.667,COOPER 83H,4848
2.667,COOPER 84H,6648
2.708,COOPER 11H,4440
2.708,COOPER 12H,5112
2.708,COOPER 13H,5592
2.708,COOPER 14H,6696
2.708,COOPER 15H,7656
2.708,COOPER 81H,3288
2.708,COOPER 82H,4992
2.708,COOPER 83H,4848
2.708,COOPER 84H,6696
2.750,COOPER 11H,4488
2.750,COOPER 12H,5136
2.750,COOPER 13H,5496
2.750,COOPER 14H,6816
2.750,COOPER 15H,7584
2.750,COOPER 81H,3192
2.750,COOPER 82H,5088
2.750,COOPER 83H,4920
2.750,COOPER 84H,6576
2.792,COOPER 11H,4416
2.792,COOPER 12H,5112
2.792,COOPER 13H,5520
2.792,COOPER 14H,6720
2.792,COOPER 15H,7536
2.792,COOPER 81H,3288
2.792,COOPER 82H,5112
2.792,COOPER 83H,4920
2.792,COOPER 84H,6552
2.833,COOPER 11H,4488
2.833,COOPER 12H,5136
2.833,COOPER 13H,5496
2.833,COOPER 14H,6888
2.833,COOPER 15H,7560
2.833,COOPER 81H,3312
2.833,COOPER 82H,5040
2.833,COOPER 83H,4920
2.833,COOPER 84H,6672
2.875,COOPER 11H,4464
2.875,COOPER 12H,5160
2.875,COOPER 13H,5520
2.875,COOPER 14H,6744
2.875,COOPER 15H,7560
2.875,COOPER 81H,3240
2.875,COOPER 82H,5088
2.875,COOPER 83H,5016
2.875,COOPER 84H,6672
2.917,COOPER 11H,4536
2.917,COOPER 12H,5160
2.917,COOPER 13H,5448
2.917,COOPER 14H,6720
2.917,COOPER 15H,7464
2.917,COOPER 81H,3288
2.917,COOPER 82H,5040
2.917,COOPER 83H,4944
2.917,COOPER 84H,6576
2.958,COOPER 11H,4584
2.958,COOPER 12H,5448
2.958,COOPER 13H,5496
2.958,COOPER 14H,6696
2.958,COOPER 15H,10152
2.958,COOPER 81H,3312
2.958,COOPER 82H,5568
2.958,COOPER 83H,4968
2.958,COOPER 84H,6600
3.000,COOPER 11H,4464
3.000,COOPER 12H,5424
3.000,COOPER 13H,5448
3.000,COOPER 14H,6600
3.000,COOPER 15H,10056
3.000,COOPER 81H,3240
3.000,COOPER 82H,5592
3.000,COOPER 83H,4848
3.000,COOPER 84H,6552
3.042,COOPER 11H,4392
3.042,COOPER 12H,5448
3.042,COOPER 13H,5424
3.042,COOPER 14H,6672
3.042,COOPER 15H,8928
3.042,COOPER 81H,3312
3.042,COOPER 82H,5568
3.042,COOPER 83H,4872
3.042,COOPER 84H,6480
3.083,COOPER 11H,4488
3.083,COOPER 12H,5520
3.083,COOPER 13H,5496
3.083,COOPER 14H,6624
3.083,COOPER 15H,8928
3.083,COOPER 81H,4560
3.083,COOPER 82H,5784
