calc_days,data_well_name_id,total_fluid_bpd
9.583,COOPER 12H,6120
9.583,COOPER 14H,7032
9.625,COOPER 12H,6264
9.625,COOPER 14H,7080
9.667,COOPER 12H,6264
9.667,COOPER 14H,7032
9.708,COOPER 12H,6480
9.708,COOPER 14H,7104
9.750,COOPER 12H,6624
9.750,COOPER 14H,7032
9.792,COOPER 12H,6552
9.792,COOPER 14H,7008
9.833,COOPER 12H,6744
9.833,COOPER 14H,7008
9.875,COOPER 12H,7032
9.875,COOPER 14H,7008
9.917,COOPER 12H,6960
9.917,COOPER 14H,6984
9.958,COOPER 12H,6888
9.958,COOPER 14H,6984
10.000,COOPER 12H,6936
10.000,COOPER 14H,6936
10.042,COOPER 12H,7008
10.042,COOPER 14H,6936
10.083,COOPER 12H,6960
10.083,COOPER 14H,6864
10.125,COOPER 12H,6768
10.125,COOPER 14H,6936
10.167,COOPER 12H,6648
10.167,COOPER 14H,6816
10.208,COOPER 12H,6624
10.208,COOPER 14H,6912
10.250,COOPER 12H,6744
10.250,COOPER 14H,6912
10.292,COOPER 12H,6744
10.292,COOPER 14H,6840
10.333,COOPER 12H,6648
10.333,COOPER 14H,6888
10.375,COOPER 12H,6816
10.375,COOPER 14H,6864
10.417,COOPER 12H,6744
10.417,COOPER 14H,6864
10.458,COOPER 12H,6816
10.458,COOPER 14H,6864
10.500,COOPER 12H,6744
10.500,COOPER 14H,6792
10.542,COOPER 12H,6720
10.542,COOPER 14H,6768
10.583,COOPER 12H,6720
10.583,COOPER 14H,6816
10.625,COOPER 12H,6672
10.625,COOPER 14H,6768
10.667,COOPER 12H,6672
10.667,COOPER 14H,6768
10.708,COOPER 12H,6672
10.708,COOPER 14H,6720
10.750,COOPER 12H,6648
10.750,COOPER 14H,6696
10.792,COOPER 12H,6552
10.792,COOPER 14H,6720
10.833,COOPER 12H,6576
10.833,COOPER 14H,6672
10.875,COOPER 12H,6672
10.875,COOPER 14H,6672
10.917,COOPER 12H,6648
10.917,COOPER 14H,6552
10.958,COOPER 12H,6672
10.958,COOPER 14H,6624
11.000,COOPER 12H,6600
11.000,COOPER 14H,6744
11.042,COOPER 12H,6672
11.042,COOPER 14H,6552
11.083,COOPER 12H,6672
11.083,COOPER 14H,6648
11.125,COOPER 12H,6720
11.125,COOPER 14H,6576
11.167,COOPER 12H,6648
11.167,COOPER 14H,6576
11.208,COOPER 12H,6576
11.208,COOPER 14H,6672
11.250,COOPER 12H,6624
11.250,COOPER 14H,6600
11.292,COOPER 12H,6672
11.292,COOPER 14H,6552
11.333,COOPER 12H,6576
11.333,COOPER 14H,6528
11.375,COOPER 12H,6648
11.375,COOPER 14H,6576
11.417,COOPER 12H,6600
11.417,COOPER 14H,6624
11.458,COOPER 12H,6576
11.458,COOPER 14H,6576
11.500,COOPER 12H,6624
11.500,COOPER 14H,6528
11.542,COOPER 12H,6576
11.542,COOPER 14H,6528
11.583,COOPER 12H,6648
11.583,COOPER 14H,6576
11.625,COOPER 12H,6600
11.625,COOPER 14H,6528
11.667,COOPER 12H,6600
11.667,COOPER 14H,6576
11.708,COOPER 12H,6576
11.708,COOPER 14H,6552
11.750,COOPER 12H,6528
11.750,COOPER 14H,6552
11.792,COOPER 12H,6552
11.792,COOPER 14H,6456
11.833,COOPER 12H,6600
