Wellname,Date_time,Temperature,Poly_1,SGx1000,Velocity_bph
Example 1h,5/22/2019 10:07:19 AM,20.912,1.544,1008.913,100
Example 1h,5/22/2019 10:07:24 AM,20.912,1.536,1008.433,100
Example 1h,5/22/2019 10:07:29 AM,20.912,1.516,1008.382,100
Example 1h,5/22/2019 10:07:34 AM,20.912,1.508,1008.636,100
Example 1h,5/22/2019 10:07:39 AM,20.912,1.515,1008.575,100
Example 1h,5/22/2019 10:07:44 AM,20.912,1.525,1008.611,100
Example 1h,5/22/2019 10:07:49 AM,20.912,1.524,1008.563,100
Example 1h,5/22/2019 10:07:54 AM,20.912,1.536,1008.64,100
Example 1h,5/22/2019 10:07:59 AM,20.912,1.539,1008.697,100
Example 1h,5/22/2019 10:08:04 AM,20.912,1.54,1008.664,100
Example 1h,5/22/2019 10:08:09 AM,20.912,1.53,1008.436,100
Example 1h,5/22/2019 10:08:14 AM,20.912,1.514,1008.611,100
Example 1h,5/22/2019 10:08:19 AM,20.912,1.54,1008.86,100
Example 1h,5/22/2019 10:08:24 AM,20.912,1.545,1008.63,100
Example 1h,5/22/2019 10:08:29 AM,20.912,1.516,1008.175,100
Example 1h,5/22/2019 10:08:34 AM,20.912,1.474,1008.115,100
Example 1h,5/22/2019 10:08:39 AM,20.912,1.476,1008.299,100
Example 1h,5/22/2019 10:08:44 AM,20.912,1.476,1008.479,100
Example 1h,5/22/2019 10:08:49 AM,20.912,1.487,1008.361,100
Example 1h,5/22/2019 10:08:54 AM,20.912,1.484,1008.19,100
Example 1h,5/22/2019 10:08:59 AM,20.912,1.443,1007.977,100
Example 1h,5/22/2019 10:09:04 AM,20.912,1.433,1008.065,100
Example 1h,5/22/2019 10:09:09 AM,20.912,1.459,1008.438,100
Example 1h,5/22/2019 10:09:14 AM,20.912,1.481,1008.304,100
Example 1h,5/22/2019 10:09:19 AM,20.912,1.469,1008.159,100
Example 1h,5/22/2019 10:09:24 AM,20.912,1.471,1008.331,100
Example 1h,5/22/2019 10:09:29 AM,20.912,1.483,1008.557,100
Example 1h,5/22/2019 10:09:34 AM,20.912,1.472,1008.129,100
Example 1h,5/22/2019 10:45:39 AM,20.912,1.665,1009.244,100
Example 1h,5/22/2019 10:45:44 AM,20.912,1.647,1009.258,100
Example 1h,5/22/2019 10:45:49 AM,20.912,1.643,1009.277,100
Example 1h,5/22/2019 10:45:54 AM,20.912,1.657,1009.291,100
