AUTOMATION_NAME,Flowback DateTime,Days Online,Hours Online,Hours Producing,Days Producing,PROD_OIL_HR,PROD_WTR_HR,TOTAL_GAS,GAS_24HR,Choke1,Choke2,TBG_PRESS,CSG_PRESS,PROD_SAND,CHLORIDES_PPM,FBHP
Apollo 32h,7/28/2019,3.916666667,94,94,3.916666667,11,244,410,410,22,0,0,3565,1.5,14564,8303.76
Apollo 32h,7/28/2019,3.958333333,95,95,3.958333333,10,246,435,435,22,0,0,3565,1.5,14564,8302.44
Apollo 32h,7/29/2019,4,96,96,4,11,247,446,446,22,0,0,3565,1.5,14564,8299.65
Apollo 32h,7/29/2019,4.041666667,97,97,4.041666667,12,259,492,492,22,0,0,3560,1.5,14564,8292.93
Apollo 32h,7/29/2019,4.083333333,98,98,4.083333333,13,267,540,540,22,0,0,3555,1.5,14564,8284.01
Apollo 32h,7/29/2019,4.125,99,99,4.125,14,274,552,552,22,0,0,3550,1.5,14564,8280.12
Apollo 32h,7/29/2019,4.166666667,100,100,4.166666667,14,280,576,576,22,0,0,3545,1.5,14564,8275.36
Apollo 32h,7/29/2019,4.208333333,101,101,4.208333333,13,279,566,566,22,0,0,3545,1.5,14564,8277.46
Apollo 32h,7/29/2019,4.25,102,102,4.25,14,281,569,569,22,0,0,3540,1.5,14564,8271.93
Apollo 13h,7/25/2019,0.041666667,1,1,0.041666667,0,70,0,0,18,0,0,2505,0,23704,6880.39
Apollo 13h,7/25/2019,0.083333333,2,2,0.083333333,0,90,0,0,19,0,0,2380,0,23704,6756.35
Apollo 13h,7/25/2019,0.125,3,3,0.125,0,110,0,0,20,0,0,2450,0,23704,6828.82
Apollo 13h,7/25/2019,0.166666667,4,4,0.166666667,0,120,0,0,20,0,0,2560,0,23704,6940.62
Apollo 13h,7/25/2019,0.208333333,5,5,0.208333333,0,110,336,336,20,0,0,2550,0,23704,6929.42
Apollo 13h,7/25/2019,0.25,6,6,0.25,26,97,552,552,22,0,0,2550,0,23704,6649.78
Apollo 13h,7/25/2019,0.291666667,7,7,0.291666667,27,154,720,720,24,0,0,2509,0,23704,6672.77
Apollo 13h,7/25/2019,0.333333333,8,8,0.333333333,23,115,552,552,24,0,0,2507,0,23704,6652.62
Apollo 13h,7/25/2019,0.375,9,9,0.375,27,117,624,624,24,0,0,2505,0,23704,6627.49
Apollo 13h,7/25/2019,0.416666667,10,10,0.416666667,22,105,552,552,26,0,0,2502,0,23704,6630.52
Apollo 13h,7/25/2019,0.458333333,11,11,0.458333333,28,159,581,581,26,0,0,2458,0,23704,6651.29
Apollo 13h,7/25/2019,0.5,12,12,0.5,33,162,840,840,28,0,0,2472,0,23704,6614.81
Apollo 13h,7/25/2019,0.541666667,13,13,0.541666667,42,178,1032,1032,28,0,0,2414,1,23704,6535.41
Apollo 13h,7/25/2019,0.583333333,14,14,0.583333333,48,216,1128,1128,28,0,0,2397,1,23704,6547.54
Apollo 13h,7/25/2019,0.625,15,15,0.625,36,181,936,936,28,0,0,2387,1,23704,6535.23
Apollo 13h,7/25/2019,0.666666667,16,16,0.666666667,43,176,1032,1032,28,0,0,2392,1,23704,6509
Apollo 13h,7/25/2019,0.708333333,17,17,0.708333333,43,187,1104,1104,28,0,0,2376,1,23704,6498
Apollo 13h,7/25/2019,0.75,18,18,0.75,49,207,1128,1128,28,0,0,2369,1,23704,6507.06
Apollo 13h,7/25/2019,0.791666667,19,19,0.791666667,47,204,1056,1056,28,0,0,2361,1,23704,6506.87
Apollo 13h,7/25/2019,0.833333333,20,20,0.833333333,38,186,984,984,28,0,0,2356,1,23704,6500.5
Apollo 13h,7/25/2019,0.875,21,21,0.875,37,179,912,912,28,0,0,2355,1,23704,6502.58
Apollo 13h,7/25/2019,0.916666667,22,22,0.916666667,38,205,984,984,28,0,0,2347,1,23704,6515.16
Apollo 13h,7/25/2019,0.958333333,23,23,0.958333333,38,169,888,888,28,0,0,2341,1,23704,6476.85
Apollo 13h,7/26/2019,1,24,24,1,39,184,912,912,28,0,0,2338,1,23704,6489.08
